alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Selatan,Rp2.550.000.000,3,150,261
Bandung Timur,Rp230.000.000,2,45,115
Bandung Tengah,Rp329.000.000,3,62,84
Bandung Timur,Rp1.300.000.000,4,120,144
Bandung Barat,Rp5.000.000.000,5,362,362
Bandung Barat,Rp2.500.000.000,3,170,230
Bandung Barat,Rp1.120.000.000,4,300,120
Bandung Barat,Rp400.000.000,2,70,74
Bandung Barat,Rp1.120.000.000,4,300,120
Bandung Utara,Rp11.500.000.000,11,395,798
Bandung Barat,Rp241.200.000,2,36,62
Bandung Barat,Rp345.000.000,2,36,61
Bandung Selatan,Rp2.500.000.000,5,170,133
Bandung Selatan,Rp2.200.000.000,4,180,120
Bandung Utara,Rp3.699.000.000,4,350,610
Bandung Timur,Rp4.400.000.000,3,120,190
Bandung Barat,Rp180.000.000,2,36,90
Bandung Selatan,Rp480.000.000,2,36,72
Bandung Utara,Rp16.168.168.000,8,1000,4000
Bandung Tengah,Rp650.000.000,2,65,80
Bandung Selatan,Rp850.000.000,4,135,180
Bandung Barat,Rp378.000.000,2,63,378
Bandung Utara,Rp4.200.000.000,5,280,215
Bandung Barat,Rp175.500.000,3,75,131
Bandung Utara,Rp3.100.000.000,5,205,245
Bandung Selatan,Rp1.650.000.000,10,180,240
Bandung Timur,Rp2.100.000.000,4,210,315
Bandung Timur,Rp3.074.669.000,4,200,297
Bandung Timur,Rp3.874.187.000,4,265,360
Bandung Selatan,Rp395.000.000,2,60,60
Bandung Tengah,Rp825.000.000,3,120,140
Bandung Tengah,Rp600.000.000,2,72,108
Bandung Utara,Rp7.000.000.000,16,650,409
Bandung Utara,Rp2.700.000.000,4,167,257
Bandung Timur,Rp8.000.000.000,3,600,670
Bandung Tengah,Rp1.600.000.000,4,250,170
Bandung Selatan,Rp650.000.000,2,84,40
Bandung Barat,Rp382.500.000,2,45,68
Bandung Barat,Rp600.000.000,3,80,94
Bandung Selatan,Rp499.000.000,2,45,75
Bandung Timur,Rp500.000.000,3,84,90
Bandung Selatan,Rp350.000.000,2,30,60
Bandung Selatan,Rp500.000.000,5,62,52
Bandung Barat,Rp358.000.000,2,36,60
Bandung Utara,Rp18.000.000.000,8,600,3000
Bandung Barat,Rp1.300.000.000,3,150,225
Bandung Selatan,Rp900.000.000,3,150,90
Bandung Utara,Rp7.000.000.000,16,650,409
Bandung Utara,Rp5.500.000.000,5,450,473
Bandung Timur,Rp3.474.000.000,4,140,386
Bandung Timur,Rp6.500.000.000,4,520,320
Bandung Utara,Rp1.349.000.000,3,225,130
Bandung Selatan,Rp556.800.000,2,40,78
Bandung Barat,Rp150.000.000,2,30,50
Bandung Selatan,Rp553.000.000,2,46,83
Bandung Selatan,Rp499.000.000,2,45,75
Bandung Timur,Rp200.000.000,2,33,60
Bandung Selatan,Rp499.000.000,2,45,75
Bandung Barat,Rp200.000.000,2,33,60
Bandung Timur,Rp2.500.000.000,3,230,340
Bandung Utara,Rp3.250.000.000,3,260,180
Bandung Timur,Rp975.000.000,4,150,131
Bandung Timur,Rp1.150.000.000,3,140,198
Bandung Utara,Rp1.900.000.000,2,100,140
Bandung Timur,Rp2.100.000.000,4,150,120
Bandung Timur,Rp499.000.000,1,97,36
Bandung Selatan,Rp480.000.000,2,42,72
Bandung Barat,Rp303.031.000,2,36,94
Bandung Tengah,Rp450.000.000,2,40,72
Bandung Selatan,Rp480.000.000,2,42,72
