alamat_rumah,harga_rumah,jumlah_kamar,jumlah_bangunan,luas_lahan
Bandung Timur,1600000000,4,150,144
Bandung Tengah,330000000,2,40,72
Bandung Selatan,3900000000,4,225,320
Bandung Timur,288004000,2,36,72
Bandung Barat,4250000000,7,350,316
Bandung Timur,460000000,2,45,84
Bandung Utara,383000000,2,36,106
Bandung Utara,2500000000,7,250,198
Bandung Utara,1500000000,4,150,145
Bandung Timur,1154000000,3,70,167
Bandung Barat,1500000000,3,175,310
Bandung Timur,1300000000,3,140,173
Bandung Utara,1750000000,3,150,232
Bandung Utara,400000000,2,70,70
Bandung Selatan,3000000000,6,350,200
Bandung Barat,300000000,2,36,65
Bandung Barat,350000000,2,36,106
Bandung Barat,350000000,2,36,106
Bandung Barat,366000000,2,45,62
Bandung Barat,699999999,3,80,104
Bandung Barat,358000000,2,36,60
Bandung Barat,2900000000,5,400,449
Bandung Utara,13000000000,5,1100,475
Bandung Timur,400000000,2,70,74
Bandung Tengah,5495000000,16,550,450
Bandung Selatan,2200000000,6,200,368
Bandung Barat,200000000,2,30,60
Bandung Barat,360000000,2,45,62
Bandung Utara,3900000000,5,160,220
Bandung Timur,700000000,4,170,162
Bandung Selatan,500000000,3,82,90
Bandung Selatan,6500000000,1,270,486
Bandung Selatan,2550000000,3,150,261
Bandung Timur,230000000,2,45,115
Bandung Tengah,329000000,3,62,84
Bandung Timur,1300000000,4,120,144
Bandung Barat,5000000000,5,362,362
Bandung Barat,2500000000,3,170,230
Bandung Barat,1120000000,4,300,120
Bandung Barat,400000000,2,70,74
Bandung Barat,1120000000,4,300,120
Bandung Utara,11500000000,11,395,798
Bandung Barat,241200000,2,36,62
Bandung Barat,345000000,2,36,61
Bandung Selatan,2500000000,5,170,133
Bandung Selatan,2200000000,4,180,120
Bandung Utara,3699000000,4,350,610
Bandung Timur,4400000000,3,120,190
Bandung Barat,180000000,2,36,90
Bandung Selatan,480000000,2,36,72
Bandung Utara,16168168000,8,1000,4000
Bandung Tengah,650000000,2,65,80
Bandung Selatan,850000000,4,135,180
Bandung Barat,378000000,2,63,378
Bandung Utara,4200000000,5,280,215
Bandung Barat,175500000,3,75,131
Bandung Utara,3100000000,5,205,245
Bandung Selatan,1650000000,10,180,240
Bandung Timur,2100000000,4,210,315
Bandung Timur,3074669000,4,200,297
Bandung Timur,3874187000,4,265,360
Bandung Selatan,395000000,2,60,60
Bandung Tengah,825000000,3,120,140
Bandung Tengah,600000000,2,72,108
Bandung Utara,7000000000,16,650,409
Bandung Utara,2700000000,4,167,257
Bandung Timur,8000000000,3,600,670
Bandung Tengah,1600000000,4,250,170
Bandung Selatan,650000000,2,84,40
Bandung Barat,382500000,2,45,68
Bandung Barat,600000000,3,80,94
Bandung Selatan,499000000,2,45,75
Bandung Timur,500000000,3,84,90
Bandung Selatan,350000000,2,30,60
Bandung Selatan,500000000,5,62,52
Bandung Barat,358000000,2,36,60
Bandung Utara,18000000000,8,600,3000
Bandung Barat,1300000000,3,150,225
Bandung Selatan,900000000,3,150,90
Bandung Utara,7000000000,16,650,409
Bandung Utara,5500000000,5,450,473
Bandung Timur,3474000000,4,140,386
Bandung Timur,6500000000,4,520,320
Bandung Utara,1349000000,3,225,130
Bandung Selatan,556800000,2,40,78
Bandung Barat,150000000,2,30,50
Bandung Selatan,553000000,2,46,83
Bandung Selatan,499000000,2,45,75
Bandung Timur,200000000,2,33,60
Bandung Selatan,499000000,2,45,75
Bandung Barat,200000000,2,33,60
Bandung Timur,2500000000,3,230,340
Bandung Utara,3250000000,3,260,180
Bandung Timur,975000000,4,150,131
Bandung Timur,1150000000,3,140,198
Bandung Utara,1900000000,2,100,140
Bandung Timur,2100000000,4,150,120
Bandung Timur,499000000,1,97,36
Bandung Selatan,480000000,2,42,72
Bandung Barat,303031000,2,36,94
Bandung Tengah,450000000,2,40,72
Bandung Selatan,480000000,2,42,72
Bandung Barat,450000000,2,40,72
Bandung Selatan,480000000,2,42,72
Bandung Utara,8200000000,15,500,319
Bandung Selatan,1300000000,5,80,100
Bandung Tengah,550000000,3,80,60
Bandung Utara,6250000000,2,300,281
Bandung Selatan,1500000000,2,140,60
Bandung Utara,8750000000,19,600,343
Bandung Utara,1300000000,3,100,76
Bandung Barat,575000000,4,70,100
Bandung Barat,250000000,2,30,25
Bandung Selatan,4250000000,3,230,431
Bandung Timur,550000000,2,70,70
